model,inference_ms,fps,frame_count
Faster R-CNN,1754.5232772827148,0.5699553907023287,10
Faster R-CNN,1673.0339527130127,0.5977165008387233,20
Faster R-CNN,1755.406141281128,0.5696687373271815,30
Faster R-CNN,1752.5806427001953,0.5705871533873061,40
Faster R-CNN,1746.9074726104736,0.5724401639347618,50
Faster R-CNN,1776.207447052002,0.562997301728306,60
Faster R-CNN,1813.7526512145996,0.551343094842805,70
Faster R-CNN,1875.9796619415283,0.5330548194563361,80
Faster R-CNN,1887.9942893981934,0.529662619010757,90
Faster R-CNN,1864.2656803131104,0.536404231735922,100
Faster R-CNN,1999.988317489624,0.5000029206446542,110
Faster R-CNN,1919.5852279663086,0.5209458717597255,120
Faster R-CNN,1811.6395473480225,0.5519861837106917,130
Faster R-CNN,1754.3973922729492,0.569996287274702,140
Faster R-CNN,1701.8420696258545,0.5875985896974844,150
Faster R-CNN,1715.6729698181152,0.5828616627946371,160
Faster R-CNN,1708.7042331695557,0.5852387912360075,170
Faster R-CNN,1659.6276760101318,0.6025447842639466,180
Faster R-CNN,1688.49515914917,0.5922433325209522,190
Faster R-CNN,1703.498363494873,0.5870272736560863,200
Faster R-CNN,1756.2532424926758,0.5693939665447595,210
